galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
2000106000000,2000106000196,-1,2000106000000,63000200000710,63000200000710,2000106000000,2000106000001,-1,0,63,0.0,154.05756,9670,32.090263,51.810417,28.36001,125318,3,5,3,36.543736,486.80978,395.24814,2052,154.05756,0.18781954,187.81967,229.31055,1.3386896,8.333147,3.0101175,14.972145,0.5404981,0.0023748504,0.032036643,0.1551333,0.04599023,0.24695586,0.009433147,3.2264132,0.0,43.988186,0.014289521,0.109840564,-21.398912,-22.053759,-22.685333,-23.26984,-24.837303,-19.453115,-20.368902,-21.109632,-21.75462,-23.361286,-21.101477,-21.841557,-22.522032,-23.152182,-24.801584,8.421204,510
2000106000001,2000106000196,2000106000000,2000106000001,62000200000690,62000200000690,2000106000000,2000106000002,-1,0,62,0.019932542,153.4551,9670,32.080456,51.71792,28.287792,125312,3,5,3,35.74884,484.63556,397.45764,1986,153.4551,0.18663052,188.04825,230.82288,1.246697,8.297781,3.0101175,14.975739,0.5642332,0.002372145,0.030600538,0.1542805,0.04599023,0.24693085,0.009878382,3.8580024,0.0,44.00804,0.012061452,0.10964147,-21.483591,-22.111855,-22.731297,-23.309303,-24.868633,-19.48314,-20.396185,-21.134975,-21.778103,-23.381832,-21.072887,-21.810822,-22.496542,-23.138233,-24.81543,8.193108,144
2000106000002,2000106000196,2000106000001,2000106000002,61000200000668,61000200000668,2000106000000,2000106000003,-1,0,61,0.041403063,151.38951,9670,32.070686,51.613457,28.202616,125312,3,5,3,34.146626,477.68,400.3169,1984,151.38951,0.18475744,187.72275,232.74083,1.1928258,8.253495,3.0101175,14.696268,0.5852519,0.002369321,0.02996777,0.1531863,0.04599023,0.24581628,0.010283543,7.0144444,8.3327865E-7,44.014576,0.009250476,0.10942217,-21.621332,-22.199396,-22.799551,-23.368053,-24.91502,-19.515638,-20.425604,-21.16227,-21.80337,-23.403875,-20.982025,-21.725,-22.424198,-23.087872,-24.819824,7.960487,427
2000106000003,2000106000160,2000106000002,2000106000003,60000200000686,60000200000686,2000106000000,2000106000004,2000106000161,0,60,0.064493395,147.86082,9670,32.058105,51.50259,28.108881,125312,3,5,3,32.292454,468.23907,401.96277,1994,147.86082,0.18218806,186.82567,228.57222,1.327986,8.161176,3.0018141,13.994556,0.57465,0.0022800763,0.03345934,0.15106902,0.045971308,0.23975892,0.010148296,4.271725,0.0,44.047108,0.011994634,0.108502455,-21.499191,-22.134829,-22.758541,-23.338337,-24.898546,-19.545883,-20.453196,-21.187933,-21.827312,-23.425411,-21.119188,-21.842955,-22.527025,-23.169014,-24.846718,7.7507453,973
2000106000004,2000106000160,2000106000003,2000106000004,59000200000702,59000200000702,2000106000000,2000106000005,-1,0,59,0.08928783,143.04115,9670,32.049065,51.391792,28.013956,125312,3,5,3,31.716002,457.28558,402.60834,1992,143.04115,0.1789714,185.39955,226.00325,1.2731848,8.107972,3.0018141,13.259984,0.5896696,0.0022773251,0.0327038,0.14972109,0.045971308,0.2386575,0.010421144,4.1704874,0.0,44.040688,0.011595506,0.108871,-21.524694,-22.162088,-22.784355,-23.362309,-24.919968,-19.584032,-20.487644,-21.219872,-21.856884,-23.451319,-21.065084,-21.824389,-22.516045,-23.159212,-24.843426,7.5013223,321
2000106000005,2000106000160,2000106000004,2000106000005,58000200000720,58000200000720,2000106000000,2000106000006,-1,0,58,0.11588337,139.42639,9670,32.04044,51.273598,27.91457,125312,3,5,3,28.97212,439.10312,402.64758,1937,139.42639,0.17613405,184.51038,230.72801,1.20133,8.0541315,3.0018141,12.75046,0.6028885,0.0022745787,0.031481814,0.14833114,0.045971308,0.23812354,0.010615627,4.535439,0.0,44.044994,0.010395668,0.10906504,-21.596067,-22.217579,-22.83097,-23.40364,-24.954466,-19.625612,-20.525192,-21.254704,-21.889206,-23.479992,-21.097265,-21.84476,-22.534128,-23.180622,-24.877235,7.2401886,349
2000106000006,2000106000160,2000106000005,2000106000006,57000200000740,57000200000740,2000106000000,2000106000007,-1,0,57,0.14438343,137.70508,9670,32.028694,51.15946,27.802958,125312,3,5,3,27.974903,430.58328,406.60263,1877,137.70508,0.17397523,184.50206,226.36183,1.1445378,7.9936323,3.0018141,12.5644865,0.6099643,0.0022717873,0.030523177,0.1467418,0.045971308,0.23737496,0.010654287,8.086748,0.0,44.061028,0.00728617,0.108712554,-21.763796,-22.327253,-22.91853,-23.481577,-25.018686,-19.671247,-20.566437,-21.293003,-21.924862,-23.512136,-20.848701,-21.619621,-22.33921,-23.03134,-24.850395,6.9731975,366
2000106000007,2000106000160,2000106000006,2000106000007,56000200000730,56000200000730,2000106000000,2000106000008,-1,0,56,0.17489761,137.18867,9670,32.02225,51.038315,27.685146,125312,3,5,3,28.38274,421.1461,407.9718,1885,137.18867,0.1722008,185.10217,231.1502,1.4245254,7.882514,3.0018141,12.355945,0.5621237,0.0022689223,0.035632446,0.14388023,0.045971308,0.23025322,0.009644879,5.72383,0.0,44.059544,0.01080875,0.106769666,-21.682083,-22.285534,-22.890673,-23.45707,-24.995762,-19.72111,-20.611216,-21.334362,-21.96316,-23.546358,-21.145443,-21.881565,-22.565647,-23.20904,-24.904411,6.738832,936
2000106000008,2000106000160,2000106000007,2000106000008,55000200000731,55000200000731,2000106000000,2000106000009,-1,0,55,0.20754863,137.79114,9670,32.01485,50.917114,27.563238,125312,3,5,3,30.58328,402.4208,405.60925,1869,137.79114,0.17075749,186.29051,229.65048,1.4617012,7.8017383,3.0018141,12.512915,0.5505812,0.0022659507,0.035692684,0.14189352,0.045971308,0.22820452,0.009325753,6.9984727,1.0545961E-4,44.088287,0.012244039,0.10554241,-21.74952,-22.336197,-22.93096,-23.488941,-25.015255,-19.776152,-20.659954,-21.378979,-22.004204,-23.582771,-21.305912,-22.001774,-22.661606,-23.282717,-24.936365,6.4676876,747
2000106000009,2000106000127,2000106000008,2000106000009,54000200000723,54000200000723,2000106000000,2000106000010,2000106000128,0,54,0.24246909,135.20917,9670,32.010796,50.792164,27.432827,125312,3,5,3,30.238274,393.8815,408.63513,1881,135.20917,0.16785641,186.12473,232.04424,1.4294789,7.640053,2.9412606,12.142647,0.525049,0.0020294948,0.034343213,0.13918434,0.045673132,0.22602099,0.008735139,6.996727,0.0,44.2053,0.009168291,0.10494004,-21.792797,-22.370913,-22.963387,-23.52059,-25.04609,-19.80764,-20.686754,-21.402401,-22.025528,-23.603806,-21.216787,-21.927414,-22.6069,-23.253447,-24.958147,6.1914263,586
